Time,Load,TotalPower,Diesel,Solar,Wind,RemainingPower,V2G
0.072870785,0.648082071,1.063586208,0.39836702,-0.001235038,0.666454227,0.415504137,1.43418E-06
0.074361955,0.657606217,0.912232131,0.237287008,-0.001270889,0.676216012,0.254625914,1.43548E-06
0.075853126,0.666566225,0.741127212,0.057035293,-0.00130615,0.68539807,0.074560987,1.43485E-06
0.077344296,0.674920648,0.588296206,-0.104407311,-0.00133324,0.694036757,-0.086624442,1.43243E-06
0.078835467,0.68273245,0.487293468,-0.213618679,-0.001346273,0.70225842,-0.195438982,1.42874E-06
0.080326637,0.690156687,0.459979754,-0.248930897,-0.001342374,0.710253026,-0.230176933,1.42456E-06
0.081817807,0.697407679,0.511926124,-0.20498488,-0.001322348,0.718233351,-0.185481555,1.42078E-06
0.083308978,0.704712727,0.631410002,-0.093688073,-0.001290542,0.726388617,-0.073302725,1.41819E-06
0.084800148,0.712262474,0.7921778,0.058588972,-0.001253935,0.734842763,0.079915327,1.4173E-06
0.086291318,0.720168825,0.959328217,0.216922178,-0.001220627,0.743626666,0.239159392,1.41826E-06
0.087782489,0.728439848,1.096999469,0.345526897,-0.001198075,0.752670647,0.368559621,1.4208E-06
0.089273659,0.736977426,1.17616738,0.415539604,-0.001191441,0.761819217,0.439189954,1.42432E-06
0.09076483,0.745598432,1.180858696,0.411196073,-0.001202442,0.770865065,0.435260264,1.42801E-06
0.092256,0.754074936,1.111450904,0.333084951,-0.00122894,0.779594892,0.357375968,1.43105E-06
0.09374717,0.762184623,0.984380734,0.197809138,-0.001265383,0.787836979,0.222196111,1.43275E-06
0.095238341,0.76976025,0.828372225,0.034176377,-0.001304005,0.795499852,0.058611975,1.43274E-06
0.096729511,0.776727136,0.678048341,-0.123208548,-0.001336514,0.802593403,-0.098678795,1.431E-06
0.098220682,0.783120378,0.566345299,-0.241526463,-0.001355909,0.809227671,-0.216775078,1.42793E-06
0.099711852,0.789077922,0.517389274,-0.296842229,-0.001358018,0.815589521,-0.271688648,1.42416E-06
0.101203022,0.794811002,0.541373812,-0.279186027,-0.001342427,0.821902266,-0.253437189,1.42051E-06
0.102694193,0.800558362,0.632524005,-0.194540504,-0.001312584,0.828377094,-0.168034357,1.41774E-06
0.104185363,0.80653428,0.770551302,-0.063340545,-0.001275066,0.835166913,-0.035982978,1.41641E-06
0.105676533,0.812881746,0.925240653,0.084146008,-0.00123815,0.842332795,0.112358908,1.41677E-06
0.107167704,0.819641127,1.063135348,0.214514895,-0.001210006,0.849830459,0.243494221,1.41868E-06
0.108989328,0.828340902,1.16649927,0.308470452,-0.001196422,0.85922524,0.338158368,1.42243E-06
0.110810952,0.837225738,1.170856044,0.303539661,-0.001209521,0.868525904,0.333630307,1.42651E-06
0.112632576,0.845879382,1.076946925,0.200849923,-0.001245336,0.877342338,0.231067543,1.42959E-06
0.1144542,0.853914921,0.916665036,0.032565986,-0.001292625,0.885391675,0.062750115,1.43065E-06
0.116275823,0.861100636,0.742473183,-0.148781662,-0.001336453,0.892591297,-0.118627453,1.42935E-06
0.118097447,0.867435297,0.610415667,-0.287307873,-0.001362972,0.899086512,-0.25701963,1.42609E-06
0.119919071,0.873149173,0.562260664,-0.341580203,-0.001363865,0.905204732,-0.310888509,1.42191E-06
0.121740695,0.878630625,0.612456311,-0.29755571,-0.001339002,0.911351023,-0.266174314,1.41809E-06
0.123562319,0.884302052,0.743967633,-0.172614592,-0.001296485,0.917878709,-0.140334419,1.41581E-06
0.125383943,0.890485032,0.914180674,-0.009545886,-0.001250047,0.924976607,0.023695642,1.41573E-06
0.127205567,0.897297928,1.068844051,0.137449605,-0.00121466,0.932609106,0.171546123,1.41779E-06
0.129027191,0.904618849,1.159492359,0.220165664,-0.00120173,0.940528425,0.25487351,1.42126E-06
0.130848815,0.912125911,1.15875698,0.21161726,-0.001215457,0.948355177,0.246631069,1.42497E-06
0.132670439,0.919401788,1.068729344,0.11427955,-0.001251496,0.95570129,0.149327556,1.4277E-06
0.134492063,0.926068702,0.919829454,-0.041167712,-0.001298373,0.962295539,-0.006239248,1.42856E-06
0.136313687,0.931910193,0.760692748,-0.206037188,-0.00134118,0.968071115,-0.171217445,1.42726E-06
0.138135311,0.936940503,0.642433091,-0.329387667,-0.001366353,0.973187111,-0.294507412,1.42421E-06
0.139956935,0.941399584,0.602369321,-0.374242003,-0.001366005,0.977977329,-0.339030264,1.42038E-06
0.141778558,0.945675796,0.652389962,-0.329112843,-0.00134042,0.982843225,-0.293285834,1.41696E-06
0.143600182,0.95018147,0.775577113,-0.211250571,-0.001297931,0.988125615,-0.174604357,1.41498E-06
0.145421806,0.955221391,0.932033673,-0.060710413,-0.001252224,0.99399631,-0.023187718,1.41503E-06
0.14724343,0.960896296,1.071921106,0.072734727,-0.001217944,1.000404323,0.11102481,1.41702E-06
0.149065054,0.967072162,1.15145276,0.145565049,-0.001206007,1.007093719,0.184380599,1.42024E-06
0.150886678,0.973424919,1.146711974,0.134244925,-0.001220132,1.013687181,0.173287055,1.42362E-06
0.152708302,0.979545922,1.06093582,0.042383292,-0.001255687,1.019808214,0.081389897,1.42604E-06
0.154529926,0.985073944,0.923053714,-0.100847538,-0.00130122,1.025202471,-0.062020231,1.42672E-06
0.15635155,0.989811092,0.778087081,-0.250389928,-0.001342159,1.029819167,-0.211724012,1.42544E-06
0.158173174,0.993785519,0.67259232,-0.35986884,-0.001365485,1.033826644,-0.3211932,1.42259E-06
0.159994798,0.99724128,0.639850058,-0.396343656,-0.001363878,1.037557591,-0.357391222,1.41909E-06
0.161816422,1.000559207,0.689506454,-0.350557552,-0.00133801,1.041402016,-0.311052753,1.41602E-06
0.163638046,1.004134683,0.804884056,-0.239502286,-0.001296279,1.045682621,-0.199250627,1.41432E-06
0.16545967,1.008251652,0.948695883,-0.100604577,-0.001252075,1.050552535,-0.05955577,1.41448E-06
0.167281294,1.012993149,1.075217436,0.02048895,-0.001219474,1.05594796,0.062224287,1.41639E-06
0.169102917,1.018216686,1.144948639,0.084546848,-0.00120874,1.06161053,0.126731952,1.41938E-06
0.170924541,1.023602002,1.137066008,0.071117231,-0.001223076,1.067171853,0.113464005,1.42246E-06
0.172746165,1.028755371,1.055740958,-0.015274102,-0.001257659,1.072272719,0.026985587,1.42461E-06
0.174567789,1.033336596,0.92841395,-0.1469633,-0.00130124,1.07667849,-0.104922645,1.42514E-06
0.176389413,1.037167757,0.796703615,-0.282310236,-0.001339793,1.080353644,-0.240464142,1.42388E-06
0.178211037,1.040289023,0.702959461,-0.379151447,-0.00136101,1.083471918,-0.337329562,1.42123E-06
0.180032661,1.042944216,0.676799823,-0.408201377,-0.001358211,1.086359411,-0.366144393,1.41804E-06
0.181854285,1.045501467,0.725909006,-0.36214806,-0.001332419,1.089389484,-0.319592461,1.41529E-06
0.183675909,1.048334955,0.833946559,-0.257624988,-0.001291968,1.092863516,-0.214388396,1.41384E-06
0.185497533,1.051705816,0.966119985,-0.129545906,-0.001249784,1.096915675,-0.085585831,1.41409E-06
0.187319157,1.055680202,1.080531216,-0.019721491,-0.001219217,1.101471925,0.024851014,1.41592E-06
0.189140781,1.060110332,1.141601774,0.036535671,-0.001209789,1.106275891,0.081491442,1.4187E-06
0.190962405,1.06468408,1.131276781,0.021528142,-0.001224185,1.110972824,0.066592702,1.4215E-06
0.192784029,1.069026644,1.054480908,-0.059485896,-0.001257468,1.115224273,-0.014545736,1.42341E-06
0.194605653,1.072821259,0.937183935,-0.180333832,-0.001298726,1.118816493,-0.135637323,1.42381E-06
0.196427276,1.075910107,0.817810948,-0.302582342,-0.001334612,1.121727902,-0.258099159,1.42259E-06
0.1982489,1.078343357,0.734835543,-0.387945244,-0.001353624,1.124134411,-0.343507814,1.42013E-06
0.200070524,1.080361259,0.714559117,-0.410442734,-0.001349748,1.1263516,-0.365802141,1.41722E-06
0.201892148,1.082315798,0.762953145,-0.36445546,-0.001324316,1.128732921,-0.319362653,1.41476E-06
0.203713772,1.084557583,0.864088399,-0.266182977,-0.001285505,1.131556882,-0.220469184,1.41353E-06
0.205535396,1.087324387,0.985544897,-0.148148735,-0.001245661,1.134939294,-0.10177949,1.41386E-06
